Region,Product Name,Sales,Profit,Quantity
Central,Canon imageCLASS 2200 Advanced Copier,17499.95,8399.976,5
Central,Lexmark MX611dhe Monochrome Laser Printer,14279.916000000001,-1189.993,13
Central,Ibico EPK-21 Electric Binding System,11339.94,1700.9909999999995,10
Central,GBC Ibimaster 500 Manual ProClick Binding System,10653.72,3804.8999999999996,18
Central,GBC DocuBind P400 Electric Binding System,8710.336,-3048.6176000000005,16
East,Canon imageCLASS 2200 Advanced Copier,30099.914,10079.9712,11
East,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,11
East,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",11717.034,-493.3488000000001,18
East,GBC DocuBind TL300 Electric Binding System,8790.502,2610.2409000000002,13
East,Hewlett Packard LaserJet 3310 Copier,8639.856,3023.9496,18
South,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,6
South,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",11374.935000000001,1854.9894,8
South,GBC DocuBind TL300 Electric Binding System,8342.007,260.1271000000001,17
South,Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904,4
South,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,7625.94,3812.97,6
West,Canon imageCLASS 2200 Advanced Copier,13999.96,6719.9808,4
West,High Speed Automatic Electric Letter Opener,13100.24,524.0096,8
West,Global Troy Executive Leather Low-Back Tilter,10019.6,626.225,25
West,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,8134.336,3050.376,8
West,GuestStacker Chair with Chrome Finish Legs,8030.0160000000005,803.0015999999999,27
