Product Name,Profit,Sales,Quantity
Canon imageCLASS 2200 Advanced Copier,25199.928,61599.824,20
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,7753.039,27453.384000000002,31
Hewlett Packard LaserJet 3310 Copier,6983.8836,18839.686,38
Canon PC1060 Personal Laser Copier,4570.9347,11619.833999999999,19
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4094.9766,18374.895,12
Ativa V4110MDD Micro-Cut Shredder,3772.9461,7699.89,11
"3D Systems Cube Printer, 2nd Generation, Magenta",3717.9714000000004,14299.89,11
Plantronics Savi W720 Multi-Device Wireless Headset System,3696.2819999999997,9367.289999999999,24
Ibico EPK-21 Electric Binding System,3345.2823,15875.916000000001,13
Zebra ZM400 Thermal Label Printer,3343.536,6965.700000000001,6
