Product Name,Quantity,Sales,Profit
Staples,215,755.47,292.2046
Staple envelope,170,1686.8120000000001,751.629
Easy-staple paper,150,2504.192,1096.0292
Staples in misc. colors,86,478.812,124.05160000000001
KI Adjustable-Height Table,74,4552.641,-248.48219999999998
Storex Dura Pro Binders,71,278.586,50.5494
Avery Non-Stick Binders,71,217.316,43.553
GBC Premium Transparent Covers with Diagonal Lined Pattern,67,780.456,49.51280000000001
"Situations Contoured Folding Chairs, 4/Set",64,3641.274,234.234
Staple-based wall hangings,62,422.288,121.99359999999999
